epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.257,1.51358,0.99186,1.55418,0.66466,0.62681,0.62712,0.22938,2.30029,1.36868,2.23623,0.000665521,0.000665521,0.000665521
2,496.526,1.49829,0.97083,1.53976,0.68524,0.62109,0.62954,0.22846,2.34254,1.38938,2.29304,0.00106841,0.00106841,0.00106841
3,736.771,1.51536,0.99289,1.55243,0.67862,0.61315,0.62773,0.22318,2.3458,1.40934,2.28051,0.00120731,0.00120731,0.00120731
4,973.457,1.52909,0.99314,1.56216,0.70109,0.58317,0.61746,0.22066,2.33721,1.42733,2.26535,0.000812,0.000812,0.000812
5,1213.14,1.52378,0.97539,1.54927,0.72789,0.62669,0.64905,0.23536,2.3143,1.32766,2.25071,0.000416,0.000416,0.000416
