epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.562,1.51358,0.99186,1.55418,0.66671,0.62864,0.63037,0.23089,2.29456,1.35545,2.23133,0.000665521,0.000665521,0.000665521
2,489.035,1.49829,0.97083,1.53976,0.68807,0.62367,0.63223,0.22931,2.3388,1.38521,2.28747,0.00106841,0.00106841,0.00106841
3,727.728,1.51536,0.99289,1.55243,0.67935,0.61494,0.63094,0.22427,2.341,1.40303,2.27383,0.00120731,0.00120731,0.00120731
4,963.674,1.52909,0.99314,1.56216,0.70272,0.58487,0.61986,0.22227,2.33012,1.41123,2.25838,0.000812,0.000812,0.000812
5,1204.04,1.52378,0.97539,1.54927,0.72526,0.62949,0.65033,0.23635,2.31125,1.32313,2.24718,0.000416,0.000416,0.000416
